Domain,Area,Element,Item,Year,Value
"Crops and livestock products","Viet Nam","Yield","Rice","2000","4243.2"
"Crops and livestock products","Viet Nam","Yield","Rice","2001","4285.3"
"Crops and livestock products","Viet Nam","Yield","Rice","2002","4590.3"
"Crops and livestock products","Viet Nam","Yield","Rice","2003","4638.7"
"Crops and livestock products","Viet Nam","Yield","Rice","2004","4855.3"
"Crops and livestock products","Viet Nam","Yield","Rice","2005","4889.1"
"Crops and livestock products","Viet Nam","Yield","Rice","2006","4894.3"
"Crops and livestock products","Viet Nam","Yield","Rice","2007","4986.9"
"Crops and livestock products","Viet Nam","Yield","Rice","2008","5233.6"
"Crops and livestock products","Viet Nam","Yield","Rice","2009","5237.2"
"Crops and livestock products","Viet Nam","Yield","Rice","2010","5341.6"
"Crops and livestock products","Viet Nam","Yield","Rice","2011","5538.3"
"Crops and livestock products","Viet Nam","Yield","Rice","2012","5635.3"
"Crops and livestock products","Viet Nam","Yield","Rice","2013","5572.6"
"Crops and livestock products","Viet Nam","Yield","Rice","2014","5753.8"
"Crops and livestock products","Viet Nam","Yield","Rice","2015","5759.7"
"Crops and livestock products","Viet Nam","Yield","Rice","2016","5573.8"
"Crops and livestock products","Viet Nam","Yield","Rice","2017","5547.6"
"Crops and livestock products","Viet Nam","Yield","Rice","2018","5818"
"Crops and livestock products","Viet Nam","Yield","Rice","2019","5837.1"
"Crops and livestock products","Viet Nam","Yield","Rice","2020","5921.2"
"Crops and livestock products","Viet Nam","Yield","Rice","2021","6074"
"Crops and livestock products","Viet Nam","Yield","Rice","2022","6018"
"Crops and livestock products","Viet Nam","Yield","Rice","2023","6113.5"
