Year,TempAvg,RainfallAnnual,HumidityAvg,Yield_FAO
2012,27.5654,1372.22,80.459,5.6353
2013,27.957,999.95,76.1173,5.5726
2014,28.3391,957.96,73.2029,5.7538
2015,28.3655,1095.19,74.0223,5.7597
2016,28.4988,1452.5,75.6005,5.5738
2017,27.5379,1586.82,80.8799,5.5476
2018,27.3276,2121.76,82.1225,5.818
2019,27.759,2190.52,79.5657,5.8371
2020,27.9445,2987.59,78.8414,5.9212
2021,27.1024,2633.94,82.5644,6.074
2022,27.1027,2444.14,83.7899,6.018
2023,27.9045,2001.71,79.809,6.1135
2000,26.9147,1931.17,81.6624,4.2432
2001,27.2247,1383.76,80.0831,4.2853
2002,27.2985,1256.02,78.9434,4.5903
2003,27.2151,1346.03,79.2835,4.6387
2004,27.1459,1297.23,78.0488,4.855300000000001
2005,27.2024,1342.82,79.5147,4.8891
2006,27.2882,1460.61,79.8153,4.8943
2007,27.1271,1657.69,80.1226,4.9869
2008,27.0783,1449.09,79.7154,5.2336
2009,27.1706,1383.66,80.4943,5.2372
2010,27.684,1461.02,78.4606,5.341600000000001
2011,26.9702,1471.08,80.0963,5.5383
2012,27.2623,1593.35,80.9854,5.6353
2013,27.4468,1191.43,78.3809,5.5726
2014,27.4656,1272.32,77.308,5.7538
2015,27.7157,967.71,76.5282,5.7597
2016,27.6443,1962.53,79.7124,5.5738
2017,27.4471,1602.85,80.3074,5.5476
2018,27.4194,1808.81,79.5593,5.818
2019,27.7207,1554.25,78.9333,5.8371
2020,27.7708,1907.52,78.1198,5.9212
2021,27.2779,1768.75,80.2748,6.074
2022,27.4814,1792.02,80.1769,6.018
2023,27.8247,1904.9,79.9461,6.1135
2000,22.5234,1226.55,80.0251,4.2432
2001,22.5544,1828.64,81.4001,4.2853
2002,22.6193,1381.02,82.6901,4.5903
2003,22.9889,1319.0,79.8336,4.6387
2004,22.5288,1345.06,78.27,4.855300000000001
2005,22.8011,1519.7,78.9022,4.8891
2006,23.0077,1148.34,78.9062,4.8943
2007,22.7881,1336.53,77.3939,4.9869
2008,21.8225,1766.79,80.0201,5.2336
