Province,Year,TempAvg,RainfallAnnual,HumidityAvg
AnGiang,2000,27.0828,1681.66,81.4347
AnGiang,2001,27.3913,1284.05,79.5008
AnGiang,2002,28.1843,918.09,74.0453
AnGiang,2003,28.0065,1077.9,75.3678
AnGiang,2004,28.0812,1113.96,74.588
AnGiang,2005,28.1157,984.02,74.9821
AnGiang,2006,27.8594,1244.04,77.5467
AnGiang,2007,27.8085,1134.86,76.7985
AnGiang,2008,27.5168,1207.24,77.8495
AnGiang,2009,27.5364,1061.61,78.4725
AnGiang,2010,28.4499,1033.08,74.7998
AnGiang,2011,27.3918,1282.23,78.4051
AnGiang,2012,27.5654,1372.22,80.459
AnGiang,2013,27.957,999.95,76.1173
AnGiang,2014,28.3391,957.96,73.2029
AnGiang,2015,28.3655,1095.19,74.0223
AnGiang,2016,28.4988,1452.5,75.6005
AnGiang,2017,27.5379,1586.82,80.8799
AnGiang,2018,27.3276,2121.76,82.1225
AnGiang,2019,27.759,2190.52,79.5657
AnGiang,2020,27.9445,2987.59,78.8414
AnGiang,2021,27.1024,2633.94,82.5644
AnGiang,2022,27.1027,2444.14,83.7899
AnGiang,2023,27.9045,2001.71,79.809
