Province,Year,TempAvg,RainfallAnnual,HumidityAvg
BaRiaVungTau,2000,26.9147,1931.17,81.6624
BaRiaVungTau,2001,27.2247,1383.76,80.0831
BaRiaVungTau,2002,27.2985,1256.02,78.9434
BaRiaVungTau,2003,27.2151,1346.03,79.2835
BaRiaVungTau,2004,27.1459,1297.23,78.0488
BaRiaVungTau,2005,27.2024,1342.82,79.5147
BaRiaVungTau,2006,27.2882,1460.61,79.8153
BaRiaVungTau,2007,27.1271,1657.69,80.1226
BaRiaVungTau,2008,27.0783,1449.09,79.7154
BaRiaVungTau,2009,27.1706,1383.66,80.4943
BaRiaVungTau,2010,27.684,1461.02,78.4606
BaRiaVungTau,2011,26.9702,1471.08,80.0963
BaRiaVungTau,2012,27.2623,1593.35,80.9854
BaRiaVungTau,2013,27.4468,1191.43,78.3809
BaRiaVungTau,2014,27.4656,1272.32,77.308
BaRiaVungTau,2015,27.7157,967.71,76.5282
BaRiaVungTau,2016,27.6443,1962.53,79.7124
BaRiaVungTau,2017,27.4471,1602.85,80.3074
BaRiaVungTau,2018,27.4194,1808.81,79.5593
BaRiaVungTau,2019,27.7207,1554.25,78.9333
BaRiaVungTau,2020,27.7708,1907.52,78.1198
BaRiaVungTau,2021,27.2779,1768.75,80.2748
BaRiaVungTau,2022,27.4814,1792.02,80.1769
BaRiaVungTau,2023,27.8247,1904.9,79.9461
