Province,Year,TempAvg,RainfallAnnual,HumidityAvg
BacGiang,2000,22.5234,1226.55,80.0251
BacGiang,2001,22.5544,1828.64,81.4001
BacGiang,2002,22.6193,1381.02,82.6901
BacGiang,2003,22.9889,1319.0,79.8336
BacGiang,2004,22.5288,1345.06,78.27
BacGiang,2005,22.8011,1519.7,78.9022
BacGiang,2006,23.0077,1148.34,78.9062
BacGiang,2007,22.7881,1336.53,77.3939
BacGiang,2008,21.8225,1766.79,80.0201
BacGiang,2009,22.6397,1253.5,81.6086
BacGiang,2010,22.7586,1310.18,80.5467
BacGiang,2011,21.5151,1458.16,79.3604
BacGiang,2012,22.5646,1661.13,82.5378
BacGiang,2013,22.1373,1962.13,82.9859
BacGiang,2014,22.3248,1411.49,83.8741
BacGiang,2015,23.1372,1622.86,83.4659
BacGiang,2016,22.5368,1547.96,83.2178
BacGiang,2017,22.7002,1888.95,83.3035
BacGiang,2018,22.5705,1839.07,83.7459
BacGiang,2019,23.3071,1569.83,84.7491
BacGiang,2020,22.6633,1810.43,84.7367
BacGiang,2021,22.7858,1592.01,83.2727
BacGiang,2022,22.2867,1974.08,83.9508
BacGiang,2023,23.2573,1493.9,82.3044
