Province,Year,TempAvg,RainfallAnnual,HumidityAvg
BacKan,2000,21.8184,1238.45,80.523
BacKan,2001,21.9339,1636.65,80.9945
BacKan,2002,22.0293,1388.97,81.8405
BacKan,2003,22.2587,1262.97,79.8709
BacKan,2004,21.7615,1248.97,78.4728
BacKan,2005,22.0719,1467.72,79.0647
BacKan,2006,22.3537,1112.82,78.7926
BacKan,2007,22.0832,1317.0,77.4812
BacKan,2008,21.1996,1689.25,79.8758
BacKan,2009,22.0151,1190.07,81.1392
BacKan,2010,22.1522,1251.79,79.7505
BacKan,2011,20.9154,1304.58,79.3689
BacKan,2012,21.9793,1475.92,81.6078
BacKan,2013,21.6007,1825.31,82.0762
BacKan,2014,21.7168,1420.89,83.5703
BacKan,2015,22.4367,1585.34,83.3536
BacKan,2016,22.0137,1369.52,82.457
BacKan,2017,22.0695,1904.3,83.1145
BacKan,2018,21.9767,1780.78,83.4897
BacKan,2019,22.6772,1659.47,84.3146
BacKan,2020,22.0117,1708.52,84.6642
BacKan,2021,22.1734,1493.63,83.0495
BacKan,2022,21.7295,1845.63,83.6733
BacKan,2023,22.6769,1398.94,81.6987
