Province,Year,TempAvg,RainfallAnnual,HumidityAvg
BacLieu,2000,26.8269,1914.87,83.2893
BacLieu,2001,26.9581,1683.01,82.6
BacLieu,2002,27.2932,1590.79,79.9627
BacLieu,2003,27.2935,1743.21,80.2699
BacLieu,2004,27.2898,1393.15,79.1132
BacLieu,2005,27.4147,1501.62,79.5656
BacLieu,2006,27.1327,1620.52,81.9792
BacLieu,2007,27.1644,1789.57,81.1179
BacLieu,2008,26.9725,1689.17,81.7152
BacLieu,2009,26.9662,1504.06,82.8065
BacLieu,2010,27.8474,1502.32,78.6519
BacLieu,2011,26.939,1577.04,81.7045
BacLieu,2012,27.2077,1599.99,82.5078
BacLieu,2013,27.3129,1474.43,80.4899
BacLieu,2014,27.5466,1294.39,78.0876
BacLieu,2015,27.7196,1301.57,77.9465
BacLieu,2016,27.7653,1999.14,80.1197
BacLieu,2017,27.1296,2039.32,83.635
BacLieu,2018,27.1828,2080.04,82.6739
BacLieu,2019,27.4629,2142.43,81.4092
BacLieu,2020,27.6905,2656.14,80.0399
BacLieu,2021,27.082,2300.05,82.8751
BacLieu,2022,27.0721,2495.54,84.252
BacLieu,2023,27.5819,2432.66,82.8651
