Province,Year,TempAvg,RainfallAnnual,HumidityAvg
BacNinh,2000,23.3985,1305.55,80.6856
BacNinh,2001,23.49,1971.34,81.8188
BacNinh,2002,23.5929,1370.74,82.9125
BacNinh,2003,24.0392,1385.86,79.8619
BacNinh,2004,23.4983,1390.31,78.839
BacNinh,2005,23.8441,1561.38,78.7095
BacNinh,2006,23.9467,1228.6,79.3524
BacNinh,2007,23.7101,1350.37,78.3343
BacNinh,2008,22.7946,1776.3,80.5393
BacNinh,2009,23.6046,1359.44,82.0344
BacNinh,2010,23.7649,1361.75,80.9851
BacNinh,2011,22.417,1609.91,80.2679
BacNinh,2012,23.5157,1817.15,83.1327
BacNinh,2013,23.1097,1970.75,83.2662
BacNinh,2014,23.3608,1433.13,83.5938
BacNinh,2015,24.1942,1608.41,83.0728
BacNinh,2016,23.5556,1698.76,82.9704
BacNinh,2017,23.6746,2047.74,83.2841
BacNinh,2018,23.558,1949.65,83.6064
BacNinh,2019,24.3532,1528.37,84.2594
BacNinh,2020,23.7479,1896.71,84.3527
BacNinh,2021,23.719,1804.16,83.3928
BacNinh,2022,23.2677,2101.15,84.0627
BacNinh,2023,24.1958,1578.02,82.4939
