Province,Year,TempAvg,RainfallAnnual,HumidityAvg
BenTre,2000,26.8415,1777.11,82.9334
BenTre,2001,27.0229,1479.77,81.9658
BenTre,2002,27.3461,1272.79,79.0346
BenTre,2003,27.2945,1390.95,79.7664
BenTre,2004,27.3082,1294.75,78.4398
BenTre,2005,27.4162,1245.47,78.8569
BenTre,2006,27.209,1324.46,81.1116
BenTre,2007,27.1484,1606.37,80.9035
BenTre,2008,26.9761,1474.86,81.247
BenTre,2009,27.0024,1362.54,82.1931
BenTre,2010,27.7462,1443.66,78.8489
BenTre,2011,26.9334,1387.45,81.2967
BenTre,2012,27.1713,1473.64,82.3121
BenTre,2013,27.3609,1306.21,79.7162
BenTre,2014,27.6891,1095.92,76.5718
BenTre,2015,27.857,1157.92,76.5993
BenTre,2016,27.7713,1642.24,79.7134
BenTre,2017,27.1565,1745.53,83.182
BenTre,2018,27.2031,1888.44,82.2862
BenTre,2019,27.4115,1951.67,81.4557
BenTre,2020,27.6423,2700.84,80.1017
BenTre,2021,27.0196,2237.5,83.1631
BenTre,2022,27.056,2318.26,84.1816
BenTre,2023,27.6123,2093.67,82.3739
