Province,Year,TempAvg,RainfallAnnual,HumidityAvg
BinhDinh,2000,26.5056,1780.25,83.5633
BinhDinh,2001,26.941,1209.2,81.659
BinhDinh,2002,27.035,1583.73,80.5839
BinhDinh,2003,26.8182,1526.9,81.0768
BinhDinh,2004,26.5238,1010.01,80.5637
BinhDinh,2005,26.6177,1876.72,82.2434
BinhDinh,2006,26.7615,1002.29,81.7209
BinhDinh,2007,26.6422,1734.89,82.33
BinhDinh,2008,26.5291,1859.76,82.3903
BinhDinh,2009,26.6743,1776.97,82.4054
BinhDinh,2010,27.207,2094.02,81.211
BinhDinh,2011,26.3724,1266.94,81.7888
BinhDinh,2012,26.9425,1127.7,82.2508
BinhDinh,2013,26.7109,1447.93,81.6829
BinhDinh,2014,26.9282,1151.74,79.6947
BinhDinh,2015,27.1414,685.18,79.4615
BinhDinh,2016,26.9422,2421.91,83.743
BinhDinh,2017,26.7749,2399.67,84.2352
BinhDinh,2018,26.7567,2368.46,82.2462
BinhDinh,2019,27.0999,2233.46,81.8464
BinhDinh,2020,26.9719,2054.28,82.2774
BinhDinh,2021,26.7746,2472.77,82.2704
BinhDinh,2022,26.6882,2616.42,84.1145
BinhDinh,2023,27.2032,2277.22,83.4627
