Province,Year,TempAvg,RainfallAnnual,HumidityAvg
BinhPhuoc,2000,26.0068,1560.43,80.1399
BinhPhuoc,2001,26.6025,1110.1,76.5442
BinhPhuoc,2002,27.6147,822.78,69.3297
BinhPhuoc,2003,27.4099,900.05,70.2065
BinhPhuoc,2004,27.4819,991.28,68.9663
BinhPhuoc,2005,27.4588,883.55,70.5209
BinhPhuoc,2006,27.4445,927.92,71.6001
BinhPhuoc,2007,27.1374,1117.73,72.6107
BinhPhuoc,2008,26.7726,1042.98,73.6655
BinhPhuoc,2009,27.0095,956.96,72.9725
BinhPhuoc,2010,27.7548,1019.6,70.7641
BinhPhuoc,2011,26.6895,1027.45,73.305
BinhPhuoc,2012,27.1518,1097.17,74.47
BinhPhuoc,2013,27.8733,602.15,66.8862
BinhPhuoc,2014,28.1618,554.76,64.695
BinhPhuoc,2015,28.5966,491.25,62.9241
BinhPhuoc,2016,27.8189,1283.93,71.889
BinhPhuoc,2017,26.6283,1568.32,78.2749
BinhPhuoc,2018,26.571,1872.78,77.9766
BinhPhuoc,2019,26.6827,2047.86,77.5239
BinhPhuoc,2020,26.9738,2566.55,76.3666
BinhPhuoc,2021,26.1674,2276.11,80.3743
BinhPhuoc,2022,26.2193,2389.35,81.2203
BinhPhuoc,2023,26.8413,2070.92,78.7315
