Province,Year,TempAvg,RainfallAnnual,HumidityAvg
BinhThuan,2000,25.4328,1811.76,85.3237
BinhThuan,2001,25.6618,1263.99,84.2548
BinhThuan,2002,26.0443,1172.59,80.846
BinhThuan,2003,25.9924,1247.5,80.9394
BinhThuan,2004,25.981,1140.8,79.2128
BinhThuan,2005,26.1219,1239.44,80.4072
BinhThuan,2006,26.0709,1345.06,81.4503
BinhThuan,2007,25.8772,1479.29,81.9582
BinhThuan,2008,25.6488,1353.94,82.8207
BinhThuan,2009,25.8251,1250.62,82.8705
BinhThuan,2010,26.4113,1334.5,80.8521
BinhThuan,2011,25.5732,1367.93,82.6584
BinhThuan,2012,25.8824,1472.81,83.669
BinhThuan,2013,26.2208,1012.48,79.7897
BinhThuan,2014,26.2991,1121.08,78.6059
BinhThuan,2015,26.5781,1002.56,77.5505
BinhThuan,2016,26.5118,1684.98,81.3586
BinhThuan,2017,25.9325,1244.53,84.2145
BinhThuan,2018,26.1752,1415.06,81.2806
BinhThuan,2019,26.3789,1231.13,81.1632
BinhThuan,2020,26.5782,1460.3,80.0453
BinhThuan,2021,25.8635,1511.04,83.3505
BinhThuan,2022,26.0072,1476.96,83.4679
BinhThuan,2023,26.4918,1413.84,82.2991
