Province,Year,TempAvg,RainfallAnnual,HumidityAvg
CaMau,2000,27.1635,2292.33,82.1524
CaMau,2001,27.252,1892.4,81.8281
CaMau,2002,27.6251,1772.77,79.0779
CaMau,2003,27.662,2026.16,79.1598
CaMau,2004,27.6016,1611.03,78.4928
CaMau,2005,27.7128,1834.83,78.8548
CaMau,2006,27.5315,1948.48,80.5875
CaMau,2007,27.523,2049.56,79.8062
CaMau,2008,27.3339,1925.16,80.486
CaMau,2009,27.3493,1708.84,81.5855
CaMau,2010,28.2522,1641.86,77.007
CaMau,2011,27.3245,1860.68,80.4137
CaMau,2012,27.594,1905.78,81.2302
CaMau,2013,27.6904,1658.71,79.3214
CaMau,2014,27.8159,1560.89,77.5413
CaMau,2015,27.9502,1553.99,77.6461
CaMau,2016,28.1395,1938.87,78.4381
CaMau,2017,27.6311,1892.3,81.3353
CaMau,2018,27.7387,1884.38,80.192
CaMau,2019,28.0536,1841.13,78.8295
CaMau,2020,28.1143,2236.05,78.3242
CaMau,2021,27.6142,2079.06,80.3249
CaMau,2022,27.5937,2253.96,81.7207
CaMau,2023,28.0427,2103.7,80.8455
