Province,Year,TempAvg,RainfallAnnual,HumidityAvg
CanTho,2000,26.8919,1562.91,82.1602
CanTho,2001,27.0768,1349.71,81.1372
CanTho,2002,27.6138,1127.6,77.0233
CanTho,2003,27.5253,1229.01,77.9489
CanTho,2004,27.604,1139.65,76.7222
CanTho,2005,27.7469,1088.91,76.7101
CanTho,2006,27.3768,1213.06,79.7407
CanTho,2007,27.3593,1382.58,79.3053
CanTho,2008,27.1105,1327.12,80.0733
CanTho,2009,27.0672,1190.88,81.1515
CanTho,2010,28.0591,1226.94,76.7315
CanTho,2011,26.9952,1310.38,80.5125
CanTho,2012,27.2495,1322.63,81.4879
CanTho,2013,27.6104,1072.57,77.7143
CanTho,2014,28.0015,959.4,74.4839
CanTho,2015,28.1354,1026.62,74.7465
CanTho,2016,28.0051,1782.16,78.3452
CanTho,2017,27.0105,1885.86,83.8731
CanTho,2018,27.0728,2112.46,83.0113
CanTho,2019,27.3364,2165.62,81.6321
CanTho,2020,27.7017,2928.21,79.6278
CanTho,2021,26.9067,2458.78,83.5031
CanTho,2022,26.8869,2499.49,84.8708
CanTho,2023,27.5212,2300.34,82.446
