Province,Year,TempAvg,RainfallAnnual,HumidityAvg
CaoBang,2000,20.2691,1159.73,81.0154
CaoBang,2001,20.4088,1467.28,81.2718
CaoBang,2002,20.5224,1394.21,82.1186
CaoBang,2003,20.6524,1199.02,80.732
CaoBang,2004,20.3256,1162.73,78.1534
CaoBang,2005,20.4694,1417.85,79.7785
CaoBang,2006,20.8043,1138.66,79.3606
CaoBang,2007,20.4725,1256.88,77.8338
CaoBang,2008,19.6507,1622.2,80.301
CaoBang,2009,20.5744,1089.33,80.9357
CaoBang,2010,20.6449,1240.3,79.7095
CaoBang,2011,19.365,1164.24,79.5207
CaoBang,2012,20.4063,1394.33,81.9864
CaoBang,2013,20.1592,1442.69,81.9486
CaoBang,2014,20.237,1425.27,83.9196
CaoBang,2015,20.854,1570.12,84.3708
CaoBang,2016,20.4307,1258.28,83.544
CaoBang,2017,20.5362,1692.71,83.9538
CaoBang,2018,20.4051,1622.38,84.2355
CaoBang,2019,21.0133,1552.81,85.4634
CaoBang,2020,20.4158,1524.9,85.4866
CaoBang,2021,20.7655,1271.06,83.2008
CaoBang,2022,20.2631,1609.86,83.4148
CaoBang,2023,21.3004,1231.93,81.1947
