Province,Year,TempAvg,RainfallAnnual,HumidityAvg
DaNang,2000,24.8488,2606.2,85.8813
DaNang,2001,25.367,2218.42,84.3815
DaNang,2002,25.3157,2003.97,84.7664
DaNang,2003,25.3376,1517.12,83.1086
DaNang,2004,25.089,1428.76,81.8363
DaNang,2005,25.4916,1786.28,81.5638
DaNang,2006,25.3941,1677.31,83.0112
DaNang,2007,25.2852,2497.67,83.6472
DaNang,2008,24.7839,2299.07,85.1188
DaNang,2009,25.2371,2590.23,84.26
DaNang,2010,25.487,2175.72,84.5177
DaNang,2011,24.5001,2887.2,84.9618
DaNang,2012,25.554,1477.25,83.9437
DaNang,2013,25.4268,1934.83,81.8709
DaNang,2014,25.4213,1632.08,81.9397
DaNang,2015,25.7656,1547.9,81.7706
DaNang,2016,25.8132,3204.8,82.8734
DaNang,2017,25.3967,3086.92,85.3067
DaNang,2018,25.2471,2526.87,84.0137
DaNang,2019,25.9417,2103.13,83.1221
DaNang,2020,25.6135,3604.15,84.0592
DaNang,2021,25.2531,3420.26,84.2903
DaNang,2022,25.2331,3262.14,85.1659
DaNang,2023,25.8196,3758.58,84.6874
