Province,Year,TempAvg,RainfallAnnual,HumidityAvg
DakLak,2000,23.4044,1014.92,80.1395
DakLak,2001,24.044,756.18,76.0983
DakLak,2002,24.7445,504.14,70.696
DakLak,2003,24.7184,560.32,70.3322
DakLak,2004,24.5783,472.22,69.7089
DakLak,2005,25.0269,541.3,68.8856
DakLak,2006,24.8529,414.06,70.4221
DakLak,2007,24.6359,673.64,71.1813
DakLak,2008,24.121,699.71,73.853
DakLak,2009,24.2872,614.08,73.6298
DakLak,2010,25.2819,761.22,69.7034
DakLak,2011,23.9017,555.39,74.2541
DakLak,2012,24.8828,584.05,71.7825
DakLak,2013,24.7653,539.45,70.1148
DakLak,2014,25.1453,325.87,67.1673
DakLak,2015,25.4847,423.1,66.3052
DakLak,2016,24.4425,1912.99,78.3033
DakLak,2017,23.0909,1865.79,85.8842
DakLak,2018,22.9659,1938.6,84.4388
DakLak,2019,23.2013,2061.49,83.8361
DakLak,2020,23.5286,2315.82,82.5434
DakLak,2021,22.9058,2079.55,85.0215
DakLak,2022,22.9533,2089.55,86.1444
DakLak,2023,23.4118,2036.08,85.7481
