Province,Year,TempAvg,RainfallAnnual,HumidityAvg
DakNong,2000,23.6125,957.78,81.066
DakNong,2001,24.3836,718.15,76.3188
DakNong,2002,25.1259,445.54,70.7505
DakNong,2003,25.1585,510.16,69.8908
DakNong,2004,25.121,434.65,68.8486
DakNong,2005,25.3047,481.69,69.6836
DakNong,2006,25.3295,365.0,70.1021
DakNong,2007,24.9555,619.76,71.5892
DakNong,2008,24.4501,639.75,74.1008
DakNong,2009,24.5742,565.67,74.0969
DakNong,2010,25.5828,692.61,70.0655
DakNong,2011,24.2093,489.04,74.3604
DakNong,2012,25.3137,515.86,71.5923
DakNong,2013,25.1245,489.92,70.1212
DakNong,2014,25.5561,278.16,66.7156
DakNong,2015,25.9243,266.27,65.7086
DakNong,2016,24.9918,1560.49,76.817
DakNong,2017,23.5101,1959.42,84.9316
DakNong,2018,23.3684,2371.46,84.1973
DakNong,2019,23.5992,2512.46,83.4293
DakNong,2020,23.9445,3005.3,81.9006
DakNong,2021,23.2438,2680.45,85.1936
DakNong,2022,23.285,2707.27,85.9589
DakNong,2023,23.7869,2631.35,84.9771
