Province,Year,TempAvg,RainfallAnnual,HumidityAvg
DienBien,2000,20.0205,1820.8,82.6569
DienBien,2001,20.172,1719.8,83.9559
DienBien,2002,20.3916,1141.03,80.984
DienBien,2003,21.5587,792.31,71.9403
DienBien,2004,21.0333,925.35,72.4249
DienBien,2005,21.2656,1092.92,73.0323
DienBien,2006,21.9435,702.46,69.0667
DienBien,2007,21.478,805.93,68.644
DienBien,2008,20.4181,1158.47,75.5972
DienBien,2009,21.4439,980.97,72.6818
DienBien,2010,21.9299,925.68,70.2365
DienBien,2011,20.1319,1144.8,77.4931
DienBien,2012,21.398,1296.36,76.2605
DienBien,2013,20.5407,1420.13,78.1262
DienBien,2014,20.9114,1289.75,78.2504
DienBien,2015,21.4439,1284.34,76.9773
DienBien,2016,21.1109,1645.31,78.1975
DienBien,2017,20.2363,1972.7,85.2236
DienBien,2018,20.3023,2328.08,85.5663
DienBien,2019,21.1443,1733.09,83.8699
DienBien,2020,20.6527,1956.47,83.6705
DienBien,2021,20.3242,1963.84,84.7782
DienBien,2022,20.3468,1996.02,85.2207
DienBien,2023,21.3157,1181.26,80.2771
