Province,Year,TempAvg,RainfallAnnual,HumidityAvg
DongNai,2000,26.5698,2043.82,82.6805
DongNai,2001,26.8399,1439.11,80.8445
DongNai,2002,27.5679,1194.19,75.0881
DongNai,2003,27.3757,1302.37,76.8193
DongNai,2004,27.4534,1426.13,75.5695
DongNai,2005,27.5105,1315.85,76.323
DongNai,2006,27.2022,1379.24,79.0385
DongNai,2007,27.2447,1670.15,78.214
DongNai,2008,26.8661,1439.49,79.643
DongNai,2009,26.8579,1413.54,80.4865
DongNai,2010,27.868,1533.39,76.2333
DongNai,2011,26.6876,1457.68,80.5408
DongNai,2012,26.9365,1617.72,81.5633
DongNai,2013,27.6513,1012.22,75.1504
DongNai,2014,28.0021,1070.81,72.5129
DongNai,2015,28.3887,981.09,70.9382
DongNai,2016,28.2702,1211.6,74.7113
DongNai,2017,27.5574,1202.31,78.1434
DongNai,2018,27.6795,1396.02,77.0839
DongNai,2019,27.6922,1389.34,77.2842
DongNai,2020,28.0316,1999.48,75.8117
DongNai,2021,26.908,1847.94,81.5109
DongNai,2022,27.0159,1867.24,81.8637
DongNai,2023,27.7201,1509.95,78.8803
