Province,Year,TempAvg,RainfallAnnual,HumidityAvg
DongThap,2000,27.0869,1486.32,80.8021
DongThap,2001,27.3536,1197.93,79.1835
DongThap,2002,28.1421,884.02,73.5195
DongThap,2003,27.9659,969.4,74.8705
DongThap,2004,28.0262,1073.09,74.1832
DongThap,2005,28.1068,922.46,74.2564
DongThap,2006,27.8605,1032.51,76.655
DongThap,2007,27.7008,1207.02,77.0571
DongThap,2008,27.4308,1191.5,77.7824
DongThap,2009,27.4174,1061.85,78.5178
DongThap,2010,28.3705,1128.45,74.6941
DongThap,2011,27.2613,1203.77,78.5014
DongThap,2012,27.5016,1231.09,79.8706
DongThap,2013,28.1387,826.84,73.9412
DongThap,2014,28.6256,767.44,70.264
DongThap,2015,28.751,808.52,70.7419
DongThap,2016,28.4968,1310.04,75.0944
DongThap,2017,27.3963,1523.42,81.1721
DongThap,2018,27.2955,1924.36,81.6558
DongThap,2019,27.5617,1991.03,80.2104
DongThap,2020,27.8637,3041.17,78.7384
DongThap,2021,26.962,2450.43,83.074
DongThap,2022,26.9545,2421.37,84.3216
DongThap,2023,27.7368,1960.92,80.6441
