Province,Year,TempAvg,RainfallAnnual,HumidityAvg
GiaLai,2000,23.4439,864.25,79.7068
GiaLai,2001,24.1185,692.86,76.1612
GiaLai,2002,24.7911,450.05,71.3727
GiaLai,2003,24.6298,477.32,71.1652
GiaLai,2004,24.6852,283.79,68.87
GiaLai,2005,25.0046,489.15,69.1202
GiaLai,2006,24.8672,307.77,70.4475
GiaLai,2007,24.7402,563.47,70.7877
GiaLai,2008,24.1917,522.51,72.5351
GiaLai,2009,24.3095,600.22,73.5775
GiaLai,2010,25.0449,628.33,71.3175
GiaLai,2011,23.9153,524.23,73.7443
GiaLai,2012,25.0912,323.26,70.8381
GiaLai,2013,24.5718,638.91,71.6837
GiaLai,2014,24.9595,326.34,68.9295
GiaLai,2015,25.3166,350.45,67.7285
GiaLai,2016,24.2694,2116.42,79.2402
GiaLai,2017,22.9722,2158.64,86.5291
GiaLai,2018,22.8249,2272.38,85.3404
GiaLai,2019,23.151,2026.68,84.922
GiaLai,2020,23.3949,2296.15,83.317
GiaLai,2021,23.0365,2513.28,84.3507
GiaLai,2022,22.8508,2166.43,86.301
GiaLai,2023,23.3771,2230.44,85.9803
