Province,Year,TempAvg,RainfallAnnual,HumidityAvg
HaGiang,2000,18.8681,1249.11,81.5824
HaGiang,2001,18.917,1311.46,81.705
HaGiang,2002,19.099,1308.33,81.4805
HaGiang,2003,19.2232,1143.31,80.7227
HaGiang,2004,18.7764,1108.52,79.3911
HaGiang,2005,19.2733,1234.29,79.0617
HaGiang,2006,19.5152,1076.15,78.876
HaGiang,2007,19.0003,1158.13,78.3021
HaGiang,2008,18.3904,1404.96,80.4431
HaGiang,2009,19.2583,1016.14,80.5329
HaGiang,2010,19.7034,1075.57,76.9291
HaGiang,2011,18.1944,1047.6,80.0302
HaGiang,2012,19.2959,1260.22,80.843
HaGiang,2013,18.8719,1294.98,81.6927
HaGiang,2014,18.9649,1391.5,83.9075
HaGiang,2015,19.4554,1334.82,83.2629
HaGiang,2016,19.3873,1129.77,81.5485
HaGiang,2017,19.2288,1579.3,83.2527
HaGiang,2018,19.072,1547.61,84.4618
HaGiang,2019,19.9081,1274.72,83.7234
HaGiang,2020,19.2647,1397.04,84.396
HaGiang,2021,19.3301,1268.35,83.3173
HaGiang,2022,18.9548,1421.41,84.2228
HaGiang,2023,20.104,1017.72,80.1625
