Province,Year,TempAvg,RainfallAnnual,HumidityAvg
HaNam,2000,22.6544,1373.86,83.3891
HaNam,2001,22.8614,2004.47,83.7188
HaNam,2002,22.9984,1318.83,84.3096
HaNam,2003,23.4318,1381.61,81.249
HaNam,2004,22.8292,1305.67,80.9731
HaNam,2005,23.4006,1535.17,79.4015
HaNam,2006,23.2739,1321.37,81.6353
HaNam,2007,23.0149,1336.31,81.0223
HaNam,2008,22.1836,1686.48,82.4235
HaNam,2009,22.9804,1401.22,83.7411
HaNam,2010,23.2606,1461.17,82.0564
HaNam,2011,21.6584,1672.23,83.6739
HaNam,2012,22.9499,1778.88,85.1028
HaNam,2013,22.5624,1798.56,84.6102
HaNam,2014,22.8188,1497.2,84.8682
HaNam,2015,23.7496,1334.32,83.2293
HaNam,2016,23.3094,1500.04,82.2768
HaNam,2017,23.1615,2103.95,84.2173
HaNam,2018,23.0524,2040.34,84.7733
HaNam,2019,23.8992,1611.28,85.0355
HaNam,2020,23.2292,1709.66,85.5363
HaNam,2021,23.1039,1922.41,84.9513
HaNam,2022,22.6929,2087.37,85.7284
HaNam,2023,23.6142,1479.17,83.7174
