Province,Year,TempAvg,RainfallAnnual,HumidityAvg
HaNoi,2000,23.0484,1321.7,81.5454
HaNoi,2001,23.2103,2018.92,82.0433
HaNoi,2002,23.2753,1354.84,83.0595
HaNoi,2003,23.6663,1396.61,80.2383
HaNoi,2004,23.0788,1360.38,79.6903
HaNoi,2005,23.5643,1560.36,78.7678
HaNoi,2006,23.6248,1212.07,79.8128
HaNoi,2007,23.4401,1372.52,78.5855
HaNoi,2008,22.4736,1797.32,80.8168
HaNoi,2009,23.2022,1376.07,82.909
HaNoi,2010,23.4807,1313.72,80.9093
HaNoi,2011,22.0715,1598.74,81.3563
HaNoi,2012,23.1842,1770.24,83.7177
HaNoi,2013,22.7898,1982.14,83.647
HaNoi,2014,23.022,1444.56,84.0904
HaNoi,2015,23.9191,1489.93,82.9812
HaNoi,2016,23.3863,1520.4,82.4472
HaNoi,2017,23.4043,2078.33,83.3985
HaNoi,2018,23.2889,2015.44,83.978
HaNoi,2019,24.0868,1649.81,84.3115
HaNoi,2020,23.4119,1816.41,84.9028
HaNoi,2021,23.3814,1832.52,83.9993
HaNoi,2022,22.9466,2077.19,84.7654
HaNoi,2023,23.8988,1530.59,82.7133
