Province,Year,TempAvg,RainfallAnnual,HumidityAvg
HaTinh,2000,24.1512,1396.77,82.216
HaTinh,2001,24.5928,1805.01,82.0562
HaTinh,2002,24.8338,1468.49,81.1082
HaTinh,2003,25.4565,1197.07,77.5698
HaTinh,2004,24.6434,1180.04,78.5416
HaTinh,2005,25.1722,1531.73,77.0051
HaTinh,2006,25.0311,1556.99,79.2384
HaTinh,2007,24.8524,1549.47,79.2318
HaTinh,2008,24.2094,1405.84,79.7537
HaTinh,2009,25.1236,1038.62,78.4752
HaTinh,2010,25.8343,1983.04,75.4921
HaTinh,2011,23.5469,1690.8,81.7359
HaTinh,2012,24.9686,1391.4,80.5987
HaTinh,2013,24.8669,1781.19,78.9199
HaTinh,2014,25.0488,1131.58,78.9821
HaTinh,2015,26.0061,1155.6,75.8438
HaTinh,2016,25.268,2696.25,78.4367
HaTinh,2017,24.4117,2611.76,84.1626
HaTinh,2018,24.6715,2168.1,82.2647
HaTinh,2019,25.5382,2862.96,82.4515
HaTinh,2020,24.9978,3279.09,83.0822
HaTinh,2021,24.4522,2644.86,83.7726
HaTinh,2022,24.1261,2695.66,84.9425
HaTinh,2023,25.2168,2337.63,81.6276
