Province,Year,TempAvg,RainfallAnnual,HumidityAvg
HaiPhong,2000,23.0205,1400.47,81.483
HaiPhong,2001,23.0038,1893.34,83.4653
HaiPhong,2002,23.24,1384.38,83.8135
HaiPhong,2003,23.6832,1302.91,80.7668
HaiPhong,2004,23.2598,1387.26,78.9833
HaiPhong,2005,23.3613,1518.99,80.1181
HaiPhong,2006,23.6938,1211.35,79.2907
HaiPhong,2007,23.5053,1296.24,78.1427
HaiPhong,2008,22.6007,1747.43,80.5329
HaiPhong,2009,23.5279,1234.79,80.7107
HaiPhong,2010,23.5252,1417.12,80.8638
HaiPhong,2011,22.0558,1561.54,81.2001
HaiPhong,2012,23.1258,1830.61,83.7589
HaiPhong,2013,22.8593,1859.29,83.3166
HaiPhong,2014,23.0815,1426.24,83.7031
HaiPhong,2015,23.7821,1709.62,84.0089
HaiPhong,2016,23.1737,2008.58,83.8458
HaiPhong,2017,23.2824,2254.05,84.0704
HaiPhong,2018,23.2034,2013.49,83.9378
HaiPhong,2019,24.0279,1721.21,84.6413
HaiPhong,2020,23.4517,2077.54,84.6943
HaiPhong,2021,23.4427,1827.45,83.5765
HaiPhong,2022,23.0114,2244.76,83.8594
HaiPhong,2023,23.785,1799.82,83.4808
