Province,Year,TempAvg,RainfallAnnual,HumidityAvg
HauGiang,2000,26.8919,1562.91,82.1602
HauGiang,2001,27.0768,1349.71,81.1372
HauGiang,2002,27.6138,1127.6,77.0233
HauGiang,2003,27.5253,1229.01,77.9489
HauGiang,2004,27.604,1139.65,76.7222
HauGiang,2005,27.7469,1088.91,76.7101
HauGiang,2006,27.3768,1213.06,79.7407
HauGiang,2007,27.3593,1382.58,79.3053
HauGiang,2008,27.1105,1327.12,80.0733
HauGiang,2009,27.0672,1190.88,81.1515
HauGiang,2010,28.0591,1226.94,76.7315
HauGiang,2011,26.9952,1310.38,80.5125
HauGiang,2012,27.2495,1322.63,81.4879
HauGiang,2013,27.6104,1072.57,77.7143
HauGiang,2014,28.0015,959.4,74.4839
HauGiang,2015,28.1354,1026.62,74.7465
HauGiang,2016,28.0051,1782.16,78.3452
HauGiang,2017,27.0105,1885.86,83.8731
HauGiang,2018,27.0728,2112.46,83.0113
HauGiang,2019,27.3364,2165.62,81.6321
HauGiang,2020,27.7017,2928.21,79.6278
HauGiang,2021,26.9067,2458.78,83.5031
HauGiang,2022,26.8869,2499.49,84.8708
HauGiang,2023,27.5212,2300.34,82.446
