Province,Year,TempAvg,RainfallAnnual,HumidityAvg
HoChiMinhCity,2000,26.5698,2043.82,82.6805
HoChiMinhCity,2001,26.8399,1439.11,80.8445
HoChiMinhCity,2002,27.5679,1194.19,75.0881
HoChiMinhCity,2003,27.3757,1302.37,76.8193
HoChiMinhCity,2004,27.4534,1426.13,75.5695
HoChiMinhCity,2005,27.5105,1315.85,76.323
HoChiMinhCity,2006,27.2022,1379.24,79.0385
HoChiMinhCity,2007,27.2447,1670.15,78.214
HoChiMinhCity,2008,26.8661,1439.49,79.643
HoChiMinhCity,2009,26.8579,1413.54,80.4865
HoChiMinhCity,2010,27.868,1533.39,76.2333
HoChiMinhCity,2011,26.6876,1457.68,80.5408
HoChiMinhCity,2012,26.9365,1617.72,81.5633
HoChiMinhCity,2013,27.6513,1012.22,75.1504
HoChiMinhCity,2014,28.0021,1070.81,72.5129
HoChiMinhCity,2015,28.3887,981.09,70.9382
HoChiMinhCity,2016,28.2702,1211.6,74.7113
HoChiMinhCity,2017,27.5574,1202.31,78.1434
HoChiMinhCity,2018,27.6795,1396.02,77.0839
HoChiMinhCity,2019,27.6922,1389.34,77.2842
HoChiMinhCity,2020,28.0316,1999.48,75.8117
HoChiMinhCity,2021,26.908,1847.94,81.5109
HoChiMinhCity,2022,27.0159,1867.24,81.8637
HoChiMinhCity,2023,27.7201,1509.95,78.8803
