Province,Year,TempAvg,RainfallAnnual,HumidityAvg
HoaBinh,2000,23.0484,1321.7,81.5454
HoaBinh,2001,23.2103,2018.92,82.0433
HoaBinh,2002,23.2753,1354.84,83.0595
HoaBinh,2003,23.6663,1396.61,80.2383
HoaBinh,2004,23.0788,1360.38,79.6903
HoaBinh,2005,23.5643,1560.36,78.7678
HoaBinh,2006,23.6248,1212.07,79.8128
HoaBinh,2007,23.4401,1372.52,78.5855
HoaBinh,2008,22.4736,1797.32,80.8168
HoaBinh,2009,23.2022,1376.07,82.909
HoaBinh,2010,23.4807,1313.72,80.9093
HoaBinh,2011,22.0715,1598.74,81.3563
HoaBinh,2012,23.1842,1770.24,83.7177
HoaBinh,2013,22.7898,1982.14,83.647
HoaBinh,2014,23.022,1444.56,84.0904
HoaBinh,2015,23.9191,1489.93,82.9812
HoaBinh,2016,23.3863,1520.4,82.4472
HoaBinh,2017,23.4043,2078.33,83.3985
HoaBinh,2018,23.2889,2015.44,83.978
HoaBinh,2019,24.0868,1649.81,84.3115
HoaBinh,2020,23.4119,1816.41,84.9028
HoaBinh,2021,23.3814,1832.52,83.9993
HoaBinh,2022,22.9466,2077.19,84.7654
HoaBinh,2023,23.8988,1530.59,82.7133
