Province,Year,TempAvg,RainfallAnnual,HumidityAvg
KhanhHoa,2000,22.9136,1366.01,85.567
KhanhHoa,2001,23.3371,1003.54,83.2843
KhanhHoa,2002,23.9818,947.56,78.136
KhanhHoa,2003,23.6594,993.64,79.7022
KhanhHoa,2004,23.6262,646.02,78.1854
KhanhHoa,2005,24.3995,1097.52,75.2276
KhanhHoa,2006,23.7287,586.3,79.9925
KhanhHoa,2007,23.9006,1134.73,78.3716
KhanhHoa,2008,23.1163,1400.23,82.9856
KhanhHoa,2009,23.1479,1070.36,83.8748
KhanhHoa,2010,24.1904,1565.52,78.9136
KhanhHoa,2011,22.9588,935.28,83.2582
KhanhHoa,2012,23.8302,1016.99,80.9054
KhanhHoa,2013,23.7452,995.35,79.3505
KhanhHoa,2014,24.1603,671.85,75.9869
KhanhHoa,2015,24.5008,880.89,75.0268
KhanhHoa,2016,24.0173,2276.16,82.5489
KhanhHoa,2017,23.0593,2084.93,87.8475
KhanhHoa,2018,22.9097,1926.1,86.1926
KhanhHoa,2019,23.1365,1931.08,85.8864
KhanhHoa,2020,23.4067,1868.84,84.5091
KhanhHoa,2021,22.8821,2352.48,86.5916
KhanhHoa,2022,22.94,2227.69,87.68
KhanhHoa,2023,23.4683,1906.25,87.0776
