Province,Year,TempAvg,RainfallAnnual,HumidityAvg
KienGiang,2000,27.2176,1784.98,81.5814
KienGiang,2001,27.4336,1414.62,80.4531
KienGiang,2002,28.0165,1112.79,76.2566
KienGiang,2003,27.899,1296.81,77.3238
KienGiang,2004,27.9371,1197.79,76.5154
KienGiang,2005,28.0302,1132.27,76.6463
KienGiang,2006,27.7757,1384.99,79.039
KienGiang,2007,27.7563,1305.66,78.239
KienGiang,2008,27.5232,1304.33,79.0029
KienGiang,2009,27.5032,1178.93,80.1377
KienGiang,2010,28.4038,1124.34,76.0869
KienGiang,2011,27.4077,1401.59,79.6392
KienGiang,2012,27.6427,1469.83,80.9555
KienGiang,2013,27.9345,1129.62,77.5185
KienGiang,2014,28.1408,1078.88,75.5194
KienGiang,2015,28.1354,1300.23,76.6596
KienGiang,2016,28.303,1803.49,77.902
KienGiang,2017,27.5524,1796.58,82.0398
KienGiang,2018,27.5201,2177.47,81.916
KienGiang,2019,27.8831,2177.28,79.9427
KienGiang,2020,28.1038,2743.91,78.7081
KienGiang,2021,27.3848,2437.46,81.7943
KienGiang,2022,27.3844,2446.84,83.0617
KienGiang,2023,27.966,2153.88,80.8448
