Province,Year,TempAvg,RainfallAnnual,HumidityAvg
KonTum,2000,21.7162,1175.65,83.0678
KonTum,2001,22.3042,927.56,79.9896
KonTum,2002,23.0042,610.95,74.6652
KonTum,2003,22.9484,593.79,73.6744
KonTum,2004,22.9733,366.7,71.2731
KonTum,2005,23.3585,622.33,71.3897
KonTum,2006,23.1741,439.03,72.9588
KonTum,2007,23.1058,719.2,72.9816
KonTum,2008,22.4725,689.44,75.4724
KonTum,2009,22.6178,755.42,76.3033
KonTum,2010,23.3524,751.64,73.9545
KonTum,2011,22.117,779.12,77.1275
KonTum,2012,23.2833,397.52,74.2798
KonTum,2013,22.8904,790.3,74.048
KonTum,2014,23.1499,464.15,72.2747
KonTum,2015,23.5408,502.67,70.7395
KonTum,2016,22.7547,2468.31,80.8458
KonTum,2017,21.4359,2435.61,88.7506
KonTum,2018,21.263,2388.32,87.5767
KonTum,2019,21.6687,2090.52,86.9827
KonTum,2020,21.8407,2551.81,85.5396
KonTum,2021,21.4703,2878.75,86.4792
KonTum,2022,21.3084,2399.29,88.5944
KonTum,2023,21.8582,2425.84,88.2618
