Province,Year,TempAvg,RainfallAnnual,HumidityAvg
LaiChau,2000,18.7826,1722.21,82.3389
LaiChau,2001,19.0603,1659.27,82.5999
LaiChau,2002,18.9974,1526.31,82.1636
LaiChau,2003,19.1902,1261.89,79.459
LaiChau,2004,18.784,1398.3,78.7014
LaiChau,2005,19.3683,1396.1,77.7028
LaiChau,2006,19.6047,1141.18,76.3659
LaiChau,2007,19.0621,1304.17,76.366
LaiChau,2008,18.554,1596.64,79.6737
LaiChau,2009,19.3393,1293.09,78.5367
LaiChau,2010,19.8503,1217.33,75.8598
LaiChau,2011,18.3734,1355.31,80.8678
LaiChau,2012,19.6318,1501.61,79.2645
LaiChau,2013,18.9223,1754.2,80.7781
LaiChau,2014,19.3238,1622.57,81.3034
LaiChau,2015,19.5943,1676.13,80.8812
LaiChau,2016,19.4495,1685.28,81.267
LaiChau,2017,19.1331,1989.54,84.6344
LaiChau,2018,19.2278,2198.05,84.4098
LaiChau,2019,20.0544,1668.21,82.6697
LaiChau,2020,19.484,1935.69,83.2401
LaiChau,2021,19.2158,1985.86,83.9419
LaiChau,2022,19.2544,1917.08,84.1081
LaiChau,2023,19.9542,1427.95,81.3914
