Province,Year,TempAvg,RainfallAnnual,HumidityAvg
LamDong,2000,22.5108,1498.34,86.4569
LamDong,2001,22.8071,1071.38,84.8736
LamDong,2002,23.4597,1001.13,79.4964
LamDong,2003,23.2354,1051.14,80.638
LamDong,2004,23.2651,698.17,78.5873
LamDong,2005,23.8774,1106.64,76.8187
LamDong,2006,23.3147,724.94,80.849
LamDong,2007,23.3682,1180.97,79.9036
LamDong,2008,22.7265,1447.96,83.8638
LamDong,2009,22.7311,1068.3,84.9707
LamDong,2010,23.7482,1594.3,79.9259
LamDong,2011,22.515,1054.1,84.6032
LamDong,2012,23.3139,1172.48,82.419
LamDong,2013,23.3188,1018.87,80.3691
LamDong,2014,23.6598,736.56,77.2855
LamDong,2015,23.9075,1098.98,77.0327
LamDong,2016,23.4872,2377.85,84.2164
LamDong,2017,22.641,2000.97,88.8717
LamDong,2018,22.6014,1961.64,86.5177
LamDong,2019,22.7404,1896.69,86.6477
LamDong,2020,23.0784,1831.15,84.9695
LamDong,2021,22.493,2295.39,87.4393
LamDong,2022,22.5488,2240.9,88.6116
LamDong,2023,23.0957,1820.12,87.8118
