Province,Year,TempAvg,RainfallAnnual,HumidityAvg
LangSon,2000,21.3989,1128.19,79.5018
LangSon,2001,21.3524,1577.33,81.3265
LangSon,2002,21.5488,1285.8,81.863
LangSon,2003,21.9577,1109.08,78.4413
LangSon,2004,21.6418,1136.99,75.7951
LangSon,2005,21.6701,1333.29,78.1689
LangSon,2006,22.0534,1004.77,77.0804
LangSon,2007,21.8154,1100.54,75.1312
LangSon,2008,20.7158,1601.79,79.017
LangSon,2009,21.7919,983.49,78.8054
LangSon,2010,21.7561,1195.08,78.7277
LangSon,2011,20.5152,1159.47,77.4439
LangSon,2012,21.5184,1334.1,80.9688
LangSon,2013,21.2247,1448.51,80.9505
LangSon,2014,21.3272,1319.15,82.5421
LangSon,2015,22.081,1457.87,82.4875
LangSon,2016,21.3403,1467.33,83.4236
LangSon,2017,21.5893,1665.62,82.9604
LangSon,2018,21.4454,1625.31,83.2246
LangSon,2019,22.0658,1516.18,84.6761
LangSon,2020,21.4562,1672.98,84.4985
LangSon,2021,21.8414,1319.18,81.8852
LangSon,2022,21.226,1759.64,82.7378
LangSon,2023,22.2741,1395.05,81.2155
