Province,Year,TempAvg,RainfallAnnual,HumidityAvg
LaoCai,2000,19.6587,1758.68,80.1074
LaoCai,2001,19.8131,1614.23,80.3447
LaoCai,2002,19.8588,1541.43,79.8955
LaoCai,2003,19.9546,1332.08,78.5346
LaoCai,2004,19.3752,1493.42,79.0581
LaoCai,2005,19.9176,1484.66,78.0355
LaoCai,2006,20.2021,1127.72,76.9832
LaoCai,2007,19.7221,1298.59,76.4965
LaoCai,2008,19.1789,1643.08,78.9342
LaoCai,2009,20.1043,1334.9,77.849
LaoCai,2010,20.4227,1202.33,76.0724
LaoCai,2011,18.9215,1374.77,80.0759
LaoCai,2012,20.1619,1578.94,79.2388
LaoCai,2013,19.622,1836.55,79.8106
LaoCai,2014,20.0019,1753.75,80.6771
LaoCai,2015,20.4909,1708.27,79.2075
LaoCai,2016,20.2781,1710.74,79.489
LaoCai,2017,19.9728,2045.79,82.2622
LaoCai,2018,20.1136,2161.86,81.5705
LaoCai,2019,20.9553,1792.13,80.0227
LaoCai,2020,20.2767,1990.82,81.4601
LaoCai,2021,20.1186,1861.35,81.441
LaoCai,2022,19.9767,1914.08,82.1495
LaoCai,2023,20.8058,1455.37,79.3733
