Province,Year,TempAvg,RainfallAnnual,HumidityAvg
NgheAn,2000,24.1512,1396.77,82.216
NgheAn,2001,24.5928,1805.01,82.0562
NgheAn,2002,24.8338,1468.49,81.1082
NgheAn,2003,25.4565,1197.07,77.5698
NgheAn,2004,24.6434,1180.04,78.5416
NgheAn,2005,25.1722,1531.73,77.0051
NgheAn,2006,25.0311,1556.99,79.2384
NgheAn,2007,24.8524,1549.47,79.2318
NgheAn,2008,24.2094,1405.84,79.7537
NgheAn,2009,25.1236,1038.62,78.4752
NgheAn,2010,25.8343,1983.04,75.4921
NgheAn,2011,23.5469,1690.8,81.7359
NgheAn,2012,24.9686,1391.4,80.5987
NgheAn,2013,24.8669,1781.19,78.9199
NgheAn,2014,25.0488,1131.58,78.9821
NgheAn,2015,26.0061,1155.6,75.8438
NgheAn,2016,25.268,2696.25,78.4367
NgheAn,2017,24.4117,2611.76,84.1626
NgheAn,2018,24.6715,2168.1,82.2647
NgheAn,2019,25.5382,2862.96,82.4515
NgheAn,2020,24.9978,3279.09,83.0822
NgheAn,2021,24.4522,2644.86,83.7726
NgheAn,2022,24.1261,2695.66,84.9425
NgheAn,2023,25.2168,2337.63,81.6276
