Province,Year,TempAvg,RainfallAnnual,HumidityAvg
NinhThuan,2000,24.4723,1696.54,84.9405
NinhThuan,2001,24.7645,1181.36,83.6398
NinhThuan,2002,25.1495,1127.46,80.1988
NinhThuan,2003,25.0031,1165.19,80.7979
NinhThuan,2004,25.0209,821.52,78.5709
NinhThuan,2005,25.3281,1165.47,78.8919
NinhThuan,2006,25.0834,1007.53,81.0133
NinhThuan,2007,25.0077,1285.91,80.9528
NinhThuan,2008,24.634,1454.32,82.9623
NinhThuan,2009,24.759,1131.79,83.2871
NinhThuan,2010,25.4689,1569.19,80.3772
NinhThuan,2011,24.4568,1173.9,83.3292
NinhThuan,2012,25.0715,1315.12,82.472
NinhThuan,2013,25.176,1024.82,79.8572
NinhThuan,2014,25.3115,865.2,78.0727
NinhThuan,2015,25.5039,1258.92,78.1449
NinhThuan,2016,25.1868,2381.44,84.053
NinhThuan,2017,24.5546,1842.16,87.4856
NinhThuan,2018,24.6535,2006.21,84.5693
NinhThuan,2019,24.8131,1796.43,84.8885
NinhThuan,2020,25.1124,1806.26,83.1877
NinhThuan,2021,24.5102,2208.01,85.7293
NinhThuan,2022,24.58,2182.65,86.7611
NinhThuan,2023,25.0065,1783.21,86.2418
