Province,Year,TempAvg,RainfallAnnual,HumidityAvg
PhuYen,2000,26.3934,1672.48,83.3646
PhuYen,2001,26.8614,1267.57,81.1025
PhuYen,2002,27.066,1364.72,79.1551
PhuYen,2003,26.7955,1321.09,80.0493
PhuYen,2004,26.6056,867.87,79.1458
PhuYen,2005,26.7813,1563.97,80.2367
PhuYen,2006,26.8702,870.08,80.1025
PhuYen,2007,26.7006,1462.23,80.8693
PhuYen,2008,26.4261,1709.87,82.1603
PhuYen,2009,26.6025,1422.82,81.8669
PhuYen,2010,27.226,2019.07,79.8833
PhuYen,2011,26.3702,1151.42,81.1131
PhuYen,2012,26.9289,1177.82,81.423
PhuYen,2013,26.7441,1279.33,80.4775
PhuYen,2014,27.0126,935.09,78.0167
PhuYen,2015,27.2158,826.3,77.8808
PhuYen,2016,26.9599,2497.35,82.7975
PhuYen,2017,26.6974,2459.09,83.9717
PhuYen,2018,26.7362,2163.97,81.4888
PhuYen,2019,27.0876,2230.48,80.6492
PhuYen,2020,26.9675,1950.72,81.1663
PhuYen,2021,26.6716,2802.15,81.9836
PhuYen,2022,26.6752,2592.2,83.4395
PhuYen,2023,27.1809,2304.37,82.7224
