Province,Year,TempAvg,RainfallAnnual,HumidityAvg
QuangBinh,2000,22.7861,1671.17,87.4717
QuangBinh,2001,23.2423,1890.91,87.1079
QuangBinh,2002,23.4377,1597.06,86.2828
QuangBinh,2003,23.9209,1113.27,82.9579
QuangBinh,2004,23.3899,1260.41,82.5205
QuangBinh,2005,23.8629,1608.05,81.9072
QuangBinh,2006,23.6208,1372.91,83.8209
QuangBinh,2007,23.6701,1529.34,83.119
QuangBinh,2008,22.8274,1490.37,85.1537
QuangBinh,2009,23.5656,1380.01,84.3802
QuangBinh,2010,24.1187,1818.62,82.4552
QuangBinh,2011,22.3512,1780.29,86.3396
QuangBinh,2012,23.557,1310.16,85.9918
QuangBinh,2013,23.6398,1576.6,83.1158
QuangBinh,2014,23.7263,1180.03,83.2182
QuangBinh,2015,24.5514,1266.34,80.3138
QuangBinh,2016,24.0974,2849.13,82.5846
QuangBinh,2017,23.1687,2672.51,88.6337
QuangBinh,2018,23.2203,1878.66,87.1415
QuangBinh,2019,24.1211,2655.59,86.6027
QuangBinh,2020,23.7048,3007.15,87.1826
QuangBinh,2021,23.1455,2965.52,87.7462
QuangBinh,2022,22.9841,2636.81,88.7381
QuangBinh,2023,23.7975,2336.71,86.9615
