Province,Year,TempAvg,RainfallAnnual,HumidityAvg
QuangNam,2000,25.7832,2340.88,85.0452
QuangNam,2001,26.2509,1857.57,83.3276
QuangNam,2002,26.2409,1646.65,83.2537
QuangNam,2003,26.2,1302.82,82.191
QuangNam,2004,26.0434,1055.73,80.4703
QuangNam,2005,26.2875,1483.74,81.1715
QuangNam,2006,26.2107,1359.24,82.4479
QuangNam,2007,26.2211,1987.31,82.3376
QuangNam,2008,25.787,2015.1,84.0184
QuangNam,2009,26.1468,2258.09,83.238
QuangNam,2010,26.4079,1783.22,83.4099
QuangNam,2011,25.5833,2264.83,83.4765
QuangNam,2012,26.3629,1092.0,83.3333
QuangNam,2013,26.3067,1555.28,80.9429
QuangNam,2014,26.3071,1300.49,80.7309
QuangNam,2015,26.5605,1585.47,80.8486
QuangNam,2016,26.3731,3770.84,83.9264
QuangNam,2017,26.2303,3752.34,84.9988
QuangNam,2018,26.1142,2957.09,83.3091
QuangNam,2019,26.6451,2706.07,82.8859
QuangNam,2020,26.333,4055.92,84.1071
QuangNam,2021,26.1764,5103.62,83.5661
QuangNam,2022,26.1065,4162.36,84.8544
QuangNam,2023,26.5991,4218.14,84.5382
