Province,Year,TempAvg,RainfallAnnual,HumidityAvg
QuangNgai,2000,24.6548,1920.11,85.5848
QuangNgai,2001,25.023,1389.48,84.4427
QuangNgai,2002,25.2828,1309.21,82.2839
QuangNgai,2003,25.1501,1119.22,81.7879
QuangNgai,2004,24.9849,810.42,80.3552
QuangNgai,2005,25.563,1306.18,78.7428
QuangNgai,2006,25.1793,980.83,81.9451
QuangNgai,2007,25.3124,1576.62,81.0399
QuangNgai,2008,24.629,1653.14,84.4918
QuangNgai,2009,24.903,1705.38,84.209
QuangNgai,2010,25.4579,1495.69,82.454
QuangNgai,2011,24.5169,1585.46,83.5627
QuangNgai,2012,25.4259,805.48,82.4584
QuangNgai,2013,25.371,1223.71,79.8163
QuangNgai,2014,25.492,969.59,78.9254
QuangNgai,2015,25.6407,1311.46,79.4138
QuangNgai,2016,25.3263,3713.2,84.4142
QuangNgai,2017,24.9635,3743.7,86.6807
QuangNgai,2018,24.7732,3031.34,85.2569
QuangNgai,2019,25.3127,2901.54,84.5551
QuangNgai,2020,25.0948,3745.29,85.0285
QuangNgai,2021,24.835,4757.6,85.3844
QuangNgai,2022,24.7932,4022.35,86.7427
QuangNgai,2023,25.3588,3814.93,86.2468
