Province,Year,TempAvg,RainfallAnnual,HumidityAvg
QuangNinh,2000,23.3347,1701.75,83.5111
QuangNinh,2001,23.7094,1926.59,83.2606
QuangNinh,2002,23.8806,1419.98,84.0091
QuangNinh,2003,24.1539,1265.75,82.1366
QuangNinh,2004,23.717,1346.81,80.3023
QuangNinh,2005,23.6467,1469.67,82.0455
QuangNinh,2006,24.0408,1179.19,81.1603
QuangNinh,2007,23.9482,1145.69,79.7545
QuangNinh,2008,23.1966,1676.72,81.1339
QuangNinh,2009,23.9936,1091.34,81.6512
QuangNinh,2010,23.8643,1274.18,82.3233
QuangNinh,2011,22.7166,1423.86,81.2307
QuangNinh,2012,23.6452,1653.77,83.3942
QuangNinh,2013,23.5698,1678.33,82.7677
QuangNinh,2014,23.7312,1388.37,83.2515
QuangNinh,2015,24.2809,2194.7,84.5002
QuangNinh,2016,23.7327,2397.8,84.0245
QuangNinh,2017,23.9026,2616.79,83.7505
QuangNinh,2018,23.8525,2001.87,83.435
QuangNinh,2019,24.6002,2132.08,84.2212
QuangNinh,2020,24.1389,2133.75,84.3127
QuangNinh,2021,24.1993,1839.74,82.8162
QuangNinh,2022,23.7338,2574.35,83.159
QuangNinh,2023,24.3029,2547.09,83.8686
