Province,Year,TempAvg,RainfallAnnual,HumidityAvg
QuangTri,2000,24.0429,2200.64,87.7007
QuangTri,2001,24.5406,2235.31,86.9886
QuangTri,2002,24.6703,2011.56,86.4879
QuangTri,2003,25.0151,1453.67,83.8167
QuangTri,2004,24.3988,1613.41,84.0213
QuangTri,2005,24.9852,1951.41,82.7163
QuangTri,2006,24.7718,1611.69,84.631
QuangTri,2007,24.7932,2212.58,84.3732
QuangTri,2008,24.1278,2150.08,85.6524
QuangTri,2009,24.5981,2175.28,86.0792
QuangTri,2010,25.0372,2414.22,84.9244
QuangTri,2011,23.6817,2633.9,86.5879
QuangTri,2012,24.81,1664.24,86.1768
QuangTri,2013,24.866,2068.57,83.5919
QuangTri,2014,24.8125,1512.53,84.141
QuangTri,2015,25.4976,1384.94,82.1833
QuangTri,2016,25.5292,2781.52,81.7266
QuangTri,2017,24.6033,2890.29,87.6109
QuangTri,2018,24.4566,2321.56,86.7857
QuangTri,2019,25.3407,2336.81,85.9998
QuangTri,2020,25.071,3225.28,86.0426
QuangTri,2021,24.499,2798.83,86.8184
QuangTri,2022,24.432,2944.38,87.7171
QuangTri,2023,25.0884,2727.37,86.6804
