Province,Year,TempAvg,RainfallAnnual,HumidityAvg
SocTrang,2000,26.8796,1930.42,83.883
SocTrang,2001,27.0747,1709.64,82.9719
SocTrang,2002,27.2473,1597.03,81.3798
SocTrang,2003,27.2822,1767.41,81.3452
SocTrang,2004,27.1136,1412.16,80.817
SocTrang,2005,27.3087,1516.63,81.0075
SocTrang,2006,27.2018,1585.31,82.5516
SocTrang,2007,27.1603,1804.56,82.0114
SocTrang,2008,27.0273,1669.89,82.2945
SocTrang,2009,27.1698,1506.14,82.7498
SocTrang,2010,27.7607,1554.71,79.9154
SocTrang,2011,27.0388,1511.52,82.1246
SocTrang,2012,27.3253,1576.89,82.8427
SocTrang,2013,27.3604,1552.71,81.2367
SocTrang,2014,27.5068,1274.09,79.1912
SocTrang,2015,27.6935,1224.02,78.9856
SocTrang,2016,27.7161,1806.08,81.2121
SocTrang,2017,27.3882,1899.81,82.893
SocTrang,2018,27.3602,1848.79,82.3022
SocTrang,2019,27.6584,1931.58,81.2715
SocTrang,2020,27.7118,2557.65,80.6984
SocTrang,2021,27.2733,2072.1,82.4572
SocTrang,2022,27.3689,2264.92,83.2824
SocTrang,2023,27.7761,2226.75,82.7287
