Province,Year,TempAvg,RainfallAnnual,HumidityAvg
SonLa,2000,20.3287,1816.67,79.9723
SonLa,2001,20.4684,1784.46,80.7654
SonLa,2002,20.5785,1179.9,79.278
SonLa,2003,21.252,878.91,74.2074
SonLa,2004,20.7945,997.13,74.3667
SonLa,2005,21.1493,1153.68,73.9097
SonLa,2006,21.644,721.69,71.5082
SonLa,2007,21.2373,821.42,70.7704
SonLa,2008,20.3589,1188.63,75.4142
SonLa,2009,21.3358,1024.73,73.7432
SonLa,2010,21.7468,967.57,71.6606
SonLa,2011,19.9116,1207.06,77.9885
SonLa,2012,21.2072,1420.04,77.2343
SonLa,2013,20.441,1602.23,78.3832
SonLa,2014,20.8428,1438.54,78.5276
SonLa,2015,21.4716,1418.06,77.1528
SonLa,2016,21.1977,1608.0,77.3726
SonLa,2017,20.5783,1990.52,81.8515
SonLa,2018,20.7379,2313.24,81.318
SonLa,2019,21.5248,2008.66,80.4756
SonLa,2020,20.8498,2100.14,81.6434
SonLa,2021,20.6716,1980.9,81.5943
SonLa,2022,20.6075,2161.58,82.0454
SonLa,2023,21.482,1363.3,78.8998
