Province,Year,TempAvg,RainfallAnnual,HumidityAvg
TayNinh,2000,26.8562,1926.28,80.5024
TayNinh,2001,27.23,1367.99,78.2118
TayNinh,2002,28.2761,1044.27,71.0243
TayNinh,2003,27.921,1162.12,73.0918
TayNinh,2004,28.0312,1345.67,71.9873
TayNinh,2005,28.0273,1163.37,73.3222
TayNinh,2006,27.8398,1243.26,75.0996
TayNinh,2007,27.777,1435.81,74.6883
TayNinh,2008,27.3484,1372.28,76.1688
TayNinh,2009,27.4736,1208.23,75.9936
TayNinh,2010,28.424,1303.31,72.729
TayNinh,2011,27.1901,1328.53,76.6546
TayNinh,2012,27.5045,1406.84,77.9853
TayNinh,2013,28.5151,759.3,68.9926
TayNinh,2014,28.9184,770.95,66.1388
TayNinh,2015,29.2888,704.48,65.0035
TayNinh,2016,29.4974,646.0,66.3967
TayNinh,2017,28.3093,1029.27,72.8981
TayNinh,2018,27.9737,1417.87,74.9668
TayNinh,2019,27.9878,1538.92,75.2961
TayNinh,2020,28.1392,2437.52,74.8841
TayNinh,2021,27.1409,2032.3,79.9267
TayNinh,2022,27.1213,2207.59,81.0378
TayNinh,2023,28.0443,1485.16,76.4107
