Province,Year,TempAvg,RainfallAnnual,HumidityAvg
ThaiNguyen,2000,22.9302,1264.42,80.306
ThaiNguyen,2001,23.0225,1873.76,81.1598
ThaiNguyen,2002,23.0912,1378.6,82.1457
ThaiNguyen,2003,23.4308,1344.35,79.5332
ThaiNguyen,2004,22.8953,1330.61,78.4554
ThaiNguyen,2005,23.296,1528.88,78.2564
ThaiNguyen,2006,23.5029,1133.01,78.4045
ThaiNguyen,2007,23.3085,1357.97,76.9408
ThaiNguyen,2008,22.2987,1786.81,79.6941
ThaiNguyen,2009,23.0014,1292.23,81.9895
ThaiNguyen,2010,23.2507,1264.74,79.9548
ThaiNguyen,2011,21.9627,1465.59,79.7168
ThaiNguyen,2012,23.0244,1638.23,82.1795
ThaiNguyen,2013,22.6012,2037.46,82.6792
ThaiNguyen,2014,22.7386,1418.84,83.8539
ThaiNguyen,2015,23.5865,1613.04,83.111
ThaiNguyen,2016,23.062,1489.52,82.5322
ThaiNguyen,2017,23.1478,2018.79,83.0701
ThaiNguyen,2018,23.0288,1919.11,83.6402
ThaiNguyen,2019,23.7662,1706.61,84.2426
ThaiNguyen,2020,23.0937,1832.62,84.7542
ThaiNguyen,2021,23.1881,1680.51,83.3966
ThaiNguyen,2022,22.7183,2000.0,84.1901
ThaiNguyen,2023,23.6776,1526.29,82.2376
