Province,Year,TempAvg,RainfallAnnual,HumidityAvg
ThanhHoa,2000,23.2517,1399.57,83.4663
ThanhHoa,2001,23.5149,1932.15,83.7124
ThanhHoa,2002,23.6358,1322.5,84.4368
ThanhHoa,2003,24.1315,1348.34,81.0417
ThanhHoa,2004,23.5233,1245.73,80.8483
ThanhHoa,2005,24.1396,1525.82,78.6755
ThanhHoa,2006,23.8625,1471.38,82.0404
ThanhHoa,2007,23.5449,1383.91,82.0682
ThanhHoa,2008,22.8613,1563.79,82.6658
ThanhHoa,2009,23.6896,1383.59,83.2823
ThanhHoa,2010,23.9702,1725.08,81.823
ThanhHoa,2011,22.3264,1741.95,84.0109
ThanhHoa,2012,23.655,1745.44,84.6999
ThanhHoa,2013,23.3033,1744.01,84.0676
ThanhHoa,2014,23.5506,1518.69,84.3512
ThanhHoa,2015,24.4459,1295.53,82.426
ThanhHoa,2016,24.1058,1564.54,80.9444
ThanhHoa,2017,23.7558,2191.77,84.2692
ThanhHoa,2018,23.7091,2047.59,84.4195
ThanhHoa,2019,24.5257,1741.14,85.0559
ThanhHoa,2020,23.919,1762.94,85.3584
ThanhHoa,2021,23.7185,1995.71,84.8435
ThanhHoa,2022,23.3921,2127.99,85.3228
ThanhHoa,2023,24.2284,1462.82,83.721
