Province,Year,TempAvg,RainfallAnnual,HumidityAvg
ThuaThienHue,2000,24.4719,2488.87,86.4873
ThuaThienHue,2001,25.0265,2226.07,85.2496
ThuaThienHue,2002,25.087,2066.97,84.9147
ThuaThienHue,2003,25.3007,1448.71,82.5328
ThuaThienHue,2004,24.9792,1473.04,81.2491
ThuaThienHue,2005,25.4888,1784.68,80.2278
ThuaThienHue,2006,25.2205,1656.09,82.8534
ThuaThienHue,2007,25.1812,2517.71,83.0201
ThuaThienHue,2008,24.5596,2197.78,84.6254
ThuaThienHue,2009,24.9532,2500.81,84.8361
ThuaThienHue,2010,25.4242,2205.27,83.5954
ThuaThienHue,2011,24.1718,2891.0,85.0646
ThuaThienHue,2012,25.3088,1497.87,84.0912
ThuaThienHue,2013,25.4364,1903.0,80.7898
ThuaThienHue,2014,25.3374,1573.22,81.5681
ThuaThienHue,2015,25.7705,1491.48,80.9445
ThuaThienHue,2016,25.8099,3135.76,81.347
ThuaThienHue,2017,25.0366,3049.19,86.1144
ThuaThienHue,2018,24.88,2141.77,84.9336
ThuaThienHue,2019,25.7457,2014.23,83.6247
ThuaThienHue,2020,25.5568,3433.78,83.4872
ThuaThienHue,2021,24.8922,3088.71,85.1972
ThuaThienHue,2022,24.8743,3039.22,86.0528
ThuaThienHue,2023,25.5244,3335.39,85.1071
