Province,Year,TempAvg,RainfallAnnual,HumidityAvg
TienGiang,2000,27.0685,1787.79,81.1483
TienGiang,2001,27.3572,1367.96,79.3932
TienGiang,2002,27.8687,1074.09,75.1956
TienGiang,2003,27.6644,1175.68,76.9259
TienGiang,2004,27.8043,1296.15,75.3821
TienGiang,2005,27.7574,1148.18,76.4524
TienGiang,2006,27.6023,1212.97,78.4275
TienGiang,2007,27.477,1518.26,78.5869
TienGiang,2008,27.2579,1378.71,79.0304
TienGiang,2009,27.2208,1299.85,80.1433
TienGiang,2010,28.0483,1407.99,76.8655
TienGiang,2011,27.155,1360.01,79.3502
TienGiang,2012,27.3459,1460.65,80.8594
TienGiang,2013,27.8204,1053.24,76.2773
TienGiang,2014,28.2061,954.02,72.9732
TienGiang,2015,28.4097,1012.26,72.9268
TienGiang,2016,28.2574,1252.13,76.4861
TienGiang,2017,27.4946,1419.95,80.5548
TienGiang,2018,27.5467,1728.66,79.965
TienGiang,2019,27.715,1773.93,79.2491
TienGiang,2020,27.9642,2726.06,78.051
TienGiang,2021,27.1695,2268.39,81.957
TienGiang,2022,27.179,2297.84,82.9892
TienGiang,2023,27.9058,1789.02,79.7897
