Province,Year,TempAvg,RainfallAnnual,HumidityAvg
TraVinh,2000,26.8415,1777.11,82.9334
TraVinh,2001,27.0229,1479.77,81.9658
TraVinh,2002,27.3461,1272.79,79.0346
TraVinh,2003,27.2945,1390.95,79.7664
TraVinh,2004,27.3082,1294.75,78.4398
TraVinh,2005,27.4162,1245.47,78.8569
TraVinh,2006,27.209,1324.46,81.1116
TraVinh,2007,27.1484,1606.37,80.9035
TraVinh,2008,26.9761,1474.86,81.247
TraVinh,2009,27.0024,1362.54,82.1931
TraVinh,2010,27.7462,1443.66,78.8489
TraVinh,2011,26.9334,1387.45,81.2967
TraVinh,2012,27.1713,1473.64,82.3121
TraVinh,2013,27.3609,1306.21,79.7162
TraVinh,2014,27.6891,1095.92,76.5718
TraVinh,2015,27.857,1157.92,76.5993
TraVinh,2016,27.7713,1642.24,79.7134
TraVinh,2017,27.1565,1745.53,83.182
TraVinh,2018,27.2031,1888.44,82.2862
TraVinh,2019,27.4115,1951.67,81.4557
TraVinh,2020,27.6423,2700.84,80.1017
TraVinh,2021,27.0196,2237.5,83.1631
TraVinh,2022,27.056,2318.26,84.1816
TraVinh,2023,27.6123,2093.67,82.3739
