Province,Year,TempAvg,RainfallAnnual,HumidityAvg
TuyenQuang,2000,23.1724,1440.19,78.6001
TuyenQuang,2001,23.2851,1653.92,78.9359
TuyenQuang,2002,23.4248,1393.42,79.342
TuyenQuang,2003,23.6692,1249.54,77.0588
TuyenQuang,2004,23.1206,1271.44,76.2397
TuyenQuang,2005,23.5227,1437.72,76.2195
TuyenQuang,2006,23.8001,1053.25,75.7596
TuyenQuang,2007,23.5586,1244.92,74.6142
TuyenQuang,2008,22.6503,1600.41,77.0772
TuyenQuang,2009,23.3877,1204.15,78.8645
TuyenQuang,2010,23.7403,1177.28,76.1421
TuyenQuang,2011,22.3504,1318.77,77.272
TuyenQuang,2012,23.3998,1468.7,79.0771
TuyenQuang,2013,23.0082,1831.0,79.6799
TuyenQuang,2014,23.0387,1485.08,81.7338
TuyenQuang,2015,23.8596,1604.3,80.7773
TuyenQuang,2016,23.4748,1590.54,79.9116
TuyenQuang,2017,23.4005,2060.4,81.1601
TuyenQuang,2018,23.372,2058.59,81.4377
TuyenQuang,2019,24.1288,1815.62,81.4788
TuyenQuang,2020,23.4684,2022.87,82.3325
TuyenQuang,2021,23.5075,1706.04,81.1064
TuyenQuang,2022,23.0882,1968.89,82.0719
TuyenQuang,2023,24.086,1449.27,79.4365
