Province,Year,TempAvg,RainfallAnnual,HumidityAvg
VinhLong,2000,26.8415,1777.11,82.9334
VinhLong,2001,27.0229,1479.77,81.9658
VinhLong,2002,27.3461,1272.79,79.0346
VinhLong,2003,27.2945,1390.95,79.7664
VinhLong,2004,27.3082,1294.75,78.4398
VinhLong,2005,27.4162,1245.47,78.8569
VinhLong,2006,27.209,1324.46,81.1116
VinhLong,2007,27.1484,1606.37,80.9035
VinhLong,2008,26.9761,1474.86,81.247
VinhLong,2009,27.0024,1362.54,82.1931
VinhLong,2010,27.7462,1443.66,78.8489
VinhLong,2011,26.9334,1387.45,81.2967
VinhLong,2012,27.1713,1473.64,82.3121
VinhLong,2013,27.3609,1306.21,79.7162
VinhLong,2014,27.6891,1095.92,76.5718
VinhLong,2015,27.857,1157.92,76.5993
VinhLong,2016,27.7713,1642.24,79.7134
VinhLong,2017,27.1565,1745.53,83.182
VinhLong,2018,27.2031,1888.44,82.2862
VinhLong,2019,27.4115,1951.67,81.4557
VinhLong,2020,27.6423,2700.84,80.1017
VinhLong,2021,27.0196,2237.5,83.1631
VinhLong,2022,27.056,2318.26,84.1816
VinhLong,2023,27.6123,2093.67,82.3739
